GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto Livraria,com.livraria.front.controller,LivroController,0,206,0,12,0,54,0,20,0,14
Projeto Livraria,com.livraria.front.controller,UsuarioController,0,84,0,0,0,24,0,8,0,8
Projeto Livraria,com.livraria.api.service,UsuarioService,7,251,15,37,2,51,15,22,0,11
Projeto Livraria,com.livraria.api.service,LivroService,0,110,2,6,0,25,2,12,0,10
Projeto Livraria,com.livraria.api.service,ViaCepService,24,85,5,7,6,23,6,4,1,3
Projeto Livraria,com.livraria.entity,Usuario,0,116,0,0,0,46,0,20,0,20
Projeto Livraria,com.livraria.entity,ViaCepResponse,3,28,0,0,1,12,1,8,1,8
Projeto Livraria,com.livraria.entity,Livro,0,103,0,0,0,40,0,18,0,18
Projeto Livraria,com.livraria.api.controller,LivroRestController,16,99,8,10,4,22,8,9,0,8
Projeto Livraria,com.livraria.api.controller,CepController,5,3,0,0,1,1,1,1,1,1
Projeto Livraria,com.livraria.api.controller,UsuarioRestController,0,116,0,2,0,29,0,12,0,11
Projeto Livraria,com.livraria.config,SecurityConfig,0,41,0,0,0,9,0,7,0,7
Projeto Livraria,com.livraria,LivrariaApplication,5,3,0,0,2,1,1,1,1,1
